name,sc,origin
7li6,None,antibody
7st8,    0.770,antibody
7ly3,None,antibody
6ea5,None,antibody
1u8q,    0.735,antibody
8fe3,    0.435,antibody
8siq,    0.611,antibody
7te8,None,antibody
8hs2,    0.639,antibody
5d1x,    0.680,antibody
7oxn,None,antibody
7amr,None,antibody
1qfw,    0.621,antibody
7p40,    0.329,antibody
6vrk,None,antibody
6yye,    0.659,antibody
8oi2,    0.652,antibody
8gat,None,antibody
7pnm,None,antibody
8xbf,None,antibody
8u32,None,antibody
8ghr,None,antibody
3dro,    0.626,antibody
6n16,    0.821,antibody
7a3p,None,antibody
7m3n,    0.678,antibody
8v7o,    0.585,antibody
8irt,None,antibody
4lss,None,antibody
6fv0,None,antibody
6ey0,    0.790,antibody
6k3m,    0.754,antibody
7uz9,None,antibody
8dpf,    0.540,antibody
4ps4,None,antibody
7xz6,None,antibody
7m8l,    0.779,antibody
3fku,None,antibody
6qex,None,antibody
3jcx,    0.349,antibody
5mu0,None,antibody
7doh,None,antibody
1kip,    0.740,antibody
7ykj,    0.595,antibody
7mep,None,antibody
2p8m,    0.714,antibody
6hjy,    0.695,antibody
6ieb,    0.648,antibody
4xmm,    0.336,antibody
2b1a,    0.791,antibody
7v8q,None,antibody
5ado,None,antibody
7wec,None,antibody
5tsj,    0.540,antibody
8d50,None,antibody
7prz,None,antibody
6xli,None,antibody
7trh,    0.666,antibody
7w71,    0.717,antibody
8y6h,None,antibody
5g5r,None,antibody
7dst,    0.585,antibody
6o28,None,antibody
6cw3,None,antibody
8f0l,None,antibody
8irr,None,antibody
7lkg,    0.776,antibody
7d8b,    0.721,antibody
2ck0,    0.789,antibody
4jre,None,antibody
8dzv,None,antibody
6whk,None,antibody
6p4a,    0.760,antibody
6vi1,    0.717,antibody
3dus,None,antibody
8hk3,    0.516,antibody
2y6s,    0.727,antibody
5a2j,None,antibody
7evy,    0.581,antibody
7pr0,None,antibody
7dr4,None,antibody
7k7y,    0.606,antibody
4j4p,None,antibody
5a8h,None,antibody
8kgk,None,antibody
6z2l,None,antibody
7dk7,None,antibody
4nc2,    0.795,antibody
2hvj,None,antibody
7zxu,None,antibody
7zox,    0.530,antibody
8k3l,None,antibody
4wfe,None,antibody
8fx5,    0.664,antibody
8tg9,None,antibody
8cc1,None,antibody
6xw5,None,antibody
5u7m,None,antibody
4d3c,    0.535,antibody
7n9a,    0.436,antibody
1rjl,    0.705,antibody
8g05,    0.639,antibody
6zlr,None,antibody
8xxw,None,antibody
8ekf,    0.813,antibody
8bgg,None,antibody
5fgc,None,antibody
8id8,    0.671,antibody
8skj,None,antibody
6n4q,    0.532,antibody
3w12,None,antibody
8dl6,None,antibody
7faf,None,antibody
5zud,    0.350,antibody
8f6j,None,antibody
4ma7,None,antibody
6y1n,None,antibody
6w2b,None,antibody
5ec1,None,antibody
8dgu,None,antibody
8idm,None,antibody
3mls,    0.769,antibody
6m87,None,antibody
5ucb,None,antibody
7qic,None,antibody
7e9h,    0.477,antibody
8og0,None,antibody
5nbd,None,antibody
4nzr,None,antibody
6lxj,None,antibody
8xzf,    0.729,antibody
3vga,None,antibody
8sau,    0.641,antibody
5da0,None,antibody
8dz4,    0.729,antibody
5j1s,None,antibody
4hha,None,antibody
7daa,None,antibody
7ucy,None,antibody
4fhb,None,antibody
6ce0,None,antibody
7upy,None,antibody
6a67,None,antibody
7the,None,antibody
7sbg,    0.699,antibody
6xey,None,antibody
8di5,None,antibody
4r4h,None,antibody
6dwi,None,antibody
5xj3,    0.635,antibody
8dd2,None,antibody
7a69,None,antibody
5n7w,    0.736,antibody
7x2g,    0.531,antibody
8cya,None,antibody
2or9,    0.777,antibody
8elp,None,antibody
1fdl,    0.658,antibody
7rco,    0.752,antibody
3ria,None,antibody
7ufn,None,antibody
8kfy,    0.626,antibody
5bk3,None,antibody
3d85,None,antibody
4xnx,None,antibody
7tet,    0.519,antibody
7mta,None,antibody
7b0b,    0.629,antibody
4jpv,None,antibody
7upl,None,antibody
7k3a,None,antibody
5toj,None,antibody
3rif,None,antibody
7wk0,None,antibody
7cu4,None,antibody
6w51,None,antibody
5u1f,    0.541,antibody
7ru5,None,antibody
8xsf,None,antibody
8e6k,None,antibody
7nj7,None,antibody
7yd0,    0.542,antibody
7uz4,None,antibody
5ggr,    0.664,antibody
6pe8,None,antibody
8dp3,None,antibody
7niw,None,antibody
8g30,    0.635,antibody
6h6z,None,antibody
7kf9,None,antibody
3k81,    0.505,antibody
6qd7,None,antibody
8g75,None,antibody
6i8h,    0.647,antibody
7czz,None,antibody
7fjo,None,antibody
8jn6,None,antibody
7te6,    0.507,antibody
3oay,None,antibody
5w42,None,antibody
8gpi,None,antibody
7zli,None,antibody
4xnz,None,antibody
4uuj,None,antibody
8j21,    0.586,antibody
7pnq,None,antibody
7pi7,    0.738,antibody
2p7t,None,antibody
6jsz,None,antibody
7lf2,None,antibody
8pwx,None,antibody
3mlw,None,antibody
5w5x,None,antibody
6itc,None,antibody
6ruv,None,antibody
6df2,None,antibody
5wdu,None,antibody
7qnc,None,antibody
6b70,    0.622,antibody
6rty,None,antibody
5y7z,None,antibody
7urv,    0.767,antibody
8hit,    0.625,antibody
7tbf,    0.643,antibody
1kcr,    0.699,antibody
1qd0,None,antibody
8pww,None,antibody
6h7o,None,antibody
4glr,None,antibody
4lou,    0.644,antibody
6xkp,None,antibody
7unz,None,antibody
8g72,    0.430,antibody
8h7l,None,antibody
7wjy,None,antibody
7jvc,None,antibody
2qqn,None,antibody
7x28,None,antibody
8epa,    0.649,antibody
6woz,    0.647,antibody
6n1w,None,antibody
6n4r,    0.529,antibody
8sgj,None,antibody
7l8p,None,antibody
7ki6,None,antibody
5th9,None,antibody
7qti,None,antibody
7x3f,    0.529,antibody
8dki,    0.651,antibody
7cn2,    0.441,antibody
1bvk,    0.682,antibody
6niy,    0.540,antibody
8cbd,    0.588,antibody
8et0,None,antibody
6kx1,None,antibody
8g79,    0.626,antibody
7a3u,    0.530,antibody
7ycl,    0.735,antibody
4z8f,None,antibody
6dkj,None,antibody
7uz8,None,antibody
8sps,    0.737,antibody
7wpf,None,antibody
8e99,None,antibody
6j5d,None,antibody
4bfb,None,antibody
2p47,None,antibody
7r8u,None,antibody
7bej,None,antibody
4nnp,    0.692,antibody
3qcu,None,antibody
7wob,None,antibody
7qna,None,antibody
4zto,    0.840,antibody
4y7m,None,antibody
6dzv,None,antibody
7vvl,    0.705,antibody
8def,    0.640,antibody
7yfc,    0.598,antibody
7nd8,None,antibody
6vja,None,antibody
8san,    0.332,antibody
2fbj,None,antibody
5nqw,None,antibody
6bf7,    0.601,antibody
6ch9,None,antibody
6fy3,None,antibody
8c5h,None,antibody
1ors,    0.773,antibody
4lsp,None,antibody
6vpx,None,antibody
4q0x,    0.693,antibody
5xwd,None,antibody
7u0i,    0.673,antibody
7lja,None,antibody
8dbz,    0.601,antibody
6rah,None,antibody
6nc3,None,antibody
7upa,None,antibody
7zf4,None,antibody
7p60,    0.332,antibody
8j1v,None,antibody
3eba,None,antibody
7rlv,None,antibody
6idk,    0.721,antibody
6axl,None,antibody
7kqb,None,antibody
5wtt,None,antibody
5y11,None,antibody
7ctu,None,antibody
8sb3,None,antibody
3oau,None,antibody
8gx9,None,antibody
2j6e,None,antibody
7tly,    0.676,antibody
6vo0,None,antibody
7yix,None,antibody
7cmk,    0.436,antibody
7e8c,None,antibody
7tjc,None,antibody
4nbz,    0.774,antibody
7keo,None,antibody
2jb6,None,antibody
6i2g,None,antibody
7xou,    0.496,antibody
6sc9,None,antibody
8cwj,None,antibody
7ejy,None,antibody
6uyg,None,antibody
7n5h,None,antibody
8w0w,None,antibody
7yrh,None,antibody
4i13,None,antibody
8qz3,None,antibody
8qz2,None,antibody
5ken,None,antibody
6plk,    0.784,antibody
6rps,None,antibody
4qnp,None,antibody
6huo,None,antibody
3iu3,None,antibody
8bg2,None,antibody
3v4u,    0.811,antibody
1mlc,    0.730,antibody
7e88,    0.624,antibody
7swd,    0.661,antibody
5zs0,    0.686,antibody
6rnk,None,antibody
7v6o,None,antibody
8k9l,None,antibody
7k3b,None,antibody
7oau,None,antibody
4dka,None,antibody
6bkb,None,antibody
8hj1,    0.501,antibody
8ic0,    0.535,antibody
4jan,None,antibody
8dlx,None,antibody
5u8r,None,antibody
7wui,    0.663,antibody
1um4,None,antibody
8h3x,None,antibody
4ios,None,antibody
4zyp,    0.660,antibody
7cak,None,antibody
6zrv,    0.789,antibody
8ibu,    0.633,antibody
6vbq,None,antibody
7rqr,    0.769,antibody
8hoc,    0.567,antibody
1xf2,None,antibody
7xtp,None,antibody
7y9u,None,antibody
3ejy,None,antibody
7r23,None,antibody
5xct,None,antibody
2w65,None,antibody
7eo0,    0.580,antibody
7po5,None,antibody
6nfj,    0.635,antibody
1f3r,None,antibody
4edw,None,antibody
1yej,None,antibody
8qrf,None,antibody
8r8d,    0.820,antibody
7nft,None,antibody
4tuj,    0.796,antibody
8tea,    0.578,antibody
5gs2,None,antibody
7wd9,None,antibody
7v5k,    0.613,antibody
8aix,    0.463,antibody
7kc1,None,antibody
7cvz,    0.160,antibody
2hrp,    0.806,antibody
5tpn,    0.564,antibody
6lz2,None,antibody
6fla,None,antibody
7txw,None,antibody
7s0b,None,antibody
7xda,None,antibody
7l57,None,antibody
8h4i,    0.515,antibody
8dim,None,antibody
5vlp,None,antibody
6n2x,None,antibody
6pz8,None,antibody
3se9,None,antibody
3cfk,None,antibody
8hdo,    0.593,antibody
7a4t,None,antibody
7tyy,    0.665,antibody
6vmk,None,antibody
5vob,None,antibody
7v4w,    0.854,antibody
1i8m,None,antibody
5bjz,None,antibody
2htl,None,antibody
8u1s,None,antibody
6q23,None,antibody
7m7b,None,antibody
4nrx,None,antibody
5n0a,None,antibody
7f23,None,antibody
4bz1,None,antibody
6e5p,None,antibody
6xbk,    0.602,antibody
7nll,None,antibody
2f5b,    0.828,antibody
8ijd,    0.616,antibody
5thr,    0.597,antibody
6nv0,None,antibody
4hfu,None,antibody
1c1e,None,antibody
4ma8,None,antibody
3wfd,None,antibody
8ag1,None,antibody
7f16,    0.611,antibody
7tat,None,antibody
7um6,    0.570,antibody
5vn3,None,antibody
6dwa,None,antibody
7ust,None,antibody
2x89,    0.763,antibody
7rbu,None,antibody
2qad,None,antibody
8a1e,None,antibody
5drz,None,antibody
8c89,    0.545,antibody
6wfy,None,antibody
5vaq,None,antibody
6u3i,None,antibody
7mxe,None,antibody
4yho,None,antibody
6mpg,None,antibody
7srs,    0.594,antibody
7w7e,    0.562,antibody
8c9x,None,antibody
8t3v,    0.545,antibody
1dee,    0.660,antibody
6hig,    0.767,antibody
7r88,    0.712,antibody
7a0w,None,antibody
6iw0,    0.534,antibody
5mhs,    0.697,antibody
3mug,None,antibody
7str,None,antibody
8s2e,None,antibody
7kmh,None,antibody
3uzv,None,antibody
8k2w,None,antibody
8rmn,None,antibody
2hfg,    0.770,antibody
7xjf,None,antibody
8e9x,    0.685,antibody
5mu2,    0.766,antibody
7pi3,None,antibody
7f9y,    0.549,antibody
8i0n,None,antibody
6nyq,None,antibody
8d21,None,antibody
8hr2,    0.790,antibody
6by2,None,antibody
6vo1,None,antibody
7c80,None,antibody
7xtq,None,antibody
6uc6,None,antibody
8da1,    0.776,antibody
8jlw,    0.605,antibody
7l5j,    0.492,antibody
8vui,None,antibody
7klc,None,antibody
3ifn,None,antibody
7q9j,None,antibody
7ljb,None,antibody
8euw,None,antibody
5f7m,None,antibody
8k45,None,antibody
7lia,None,antibody
7wwk,    0.494,antibody
7dk4,None,antibody
6k68,    0.702,antibody
7yck,    0.749,antibody
8iw7,    0.650,antibody
8sx3,    0.465,antibody
7vdm,    0.665,antibody
8u26,None,antibody
6gff,    0.773,antibody
6obe,None,antibody
7dzy,    0.414,antibody
7bh8,None,antibody
5aam,    0.729,antibody
5t3x,None,antibody
6mg5,None,antibody
4etq,None,antibody
7tp3,None,antibody
7vng,None,antibody
8g4m,None,antibody
3qxv,None,antibody
8czz,None,antibody
6n50,None,antibody
5mhe,None,antibody
8hqm,    0.535,antibody
7dur,    0.531,antibody
7zlj,None,antibody
3ra7,None,antibody
7mno,None,antibody
7cvy,    0.065,antibody
8en5,None,antibody
8ihi,    0.539,antibody
7y9v,None,antibody
5dsc,None,antibody
8xqr,    0.662,antibody
1v7n,    0.660,antibody
8jn7,None,antibody
7mfg,None,antibody
8pij,None,antibody
7t94,    0.575,antibody
8sh5,None,antibody
4ye4,None,antibody
8jhb,    0.609,antibody
7xlt,None,antibody
2i9l,None,antibody
7vmu,    0.678,antibody
7kn6,None,antibody
8f6e,None,antibody
4f9p,    0.276,antibody
6uj9,None,antibody
3o2w,None,antibody
7tc9,None,antibody
6x03,    0.453,antibody
3ze0,None,antibody
1hh6,    0.670,antibody
5i8c,    0.829,antibody
2otu,    0.808,antibody
4hkb,    0.609,antibody
4xc1,None,antibody
7ur6,None,antibody
7yp2,None,antibody
7f54,    0.562,antibody
8gb6,None,antibody
1mhp,None,antibody
7ps2,None,antibody
7kcr,    0.483,antibody
7vla,    0.662,antibody
7r40,None,antibody
4n9o,None,antibody
4x8j,None,antibody
6phb,None,antibody
7tdn,    0.566,antibody
4oga,None,antibody
6mej,None,antibody
7ckz,    0.669,antibody
6xob,    0.452,antibody
8go9,None,antibody
4z0x,None,antibody
7mem,None,antibody
8bzy,None,antibody
1j1o,    0.741,antibody
6f2w,None,antibody
3jbf,    0.305,antibody
3f7y,None,antibody
4jg1,None,antibody
5eu7,    0.731,antibody
4jo1,    0.769,antibody
8sit,None,antibody
5ibl,None,antibody
8xbe,    0.585,antibody
8w8r,    0.621,antibody
4hj0,    0.489,antibody
4xp9,None,antibody
5nh3,None,antibody
6uht,None,antibody
8bso,None,antibody
6rlo,None,antibody
5ja8,None,antibody
7cm4,None,antibody
6u36,None,antibody
3p30,    0.618,antibody
3b2u,None,antibody
8tw3,None,antibody
3w11,None,antibody
4iof,    0.719,antibody
5g64,None,antibody
7dfl,    0.563,antibody
5m2i,    0.737,antibody
3fb6,None,antibody
6xw7,None,antibody
4jqi,None,antibody
6sni,None,antibody
4wfg,None,antibody
7t1w,None,antibody
6i04,    0.655,antibody
6bt3,    0.381,antibody
6zvf,None,antibody
7f4f,    0.694,antibody
8j7y,None,antibody
8jn1,    0.512,antibody
8e8x,None,antibody
8ucd,None,antibody
2b1h,    0.785,antibody
8hcx,    0.519,antibody
6u2f,None,antibody
8dlw,None,antibody
7o9w,None,antibody
4y8d,None,antibody
6vy2,None,antibody
4np4,    0.675,antibody
5jyl,None,antibody
6orn,None,antibody
4kzd,None,antibody
7tri,    0.580,antibody
6ule,None,antibody
7xsa,    0.702,antibody
8fxs,None,antibody
7wdf,    0.382,antibody
7evm,    0.556,antibody
6f2g,None,antibody
7v26,None,antibody
1ic4,    0.768,antibody
7ykd,    0.694,antibody
7lxz,None,antibody
7uoj,None,antibody
7m2h,None,antibody
6p50,None,antibody
5tr1,None,antibody
6chb,    0.726,antibody
7qnb,None,antibody
9fgt,None,antibody
2oz4,None,antibody
6mu8,None,antibody
7z1a,None,antibody
5te6,None,antibody
7ox3,None,antibody
4m7j,None,antibody
6nc2,None,antibody
6ot0,    0.364,antibody
6mxt,None,antibody
7pqq,    0.574,antibody
1kn2,None,antibody
7mji,None,antibody
7yr1,None,antibody
7wcn,    0.612,antibody
7n08,None,antibody
7akd,None,antibody
8jlq,    0.556,antibody
8hlc,None,antibody
7ubx,    0.749,antibody
6iut,None,antibody
2nlj,None,antibody
7zw1,None,antibody
4r8w,None,antibody
6ldx,None,antibody
7sn3,None,antibody
8u1q,    0.550,antibody
7sr8,    0.596,antibody
6wj1,None,antibody
5ggt,    0.664,antibody
7zg0,None,antibody
8jf7,    0.457,antibody
5f7l,None,antibody
8wc5,    0.635,antibody
7uby,None,antibody
5o03,None,antibody
4cau,   -0.104,antibody
6y9b,None,antibody
7y3o,None,antibody
6wmw,    0.700,antibody
8edf,None,antibody
5myo,None,antibody
1i7z,None,antibody
7t92,None,antibody
7ph2,None,antibody
7zms,None,antibody
8k3z,    0.629,antibody
4leo,None,antibody
7r98,None,antibody
7bz2,    0.403,antibody
7k66,None,antibody
7yue,    0.703,antibody
6wo5,None,antibody
5x8l,    0.708,antibody
8eqb,    0.496,antibody
8fl1,None,antibody
4v1d,    0.698,antibody
8fba,None,antibody
7lmp,None,antibody
4ala,None,antibody
8dwa,None,antibody
3j8w,None,antibody
7w0m,    0.413,antibody
7b2q,None,antibody
7tcn,None,antibody
8hq7,    0.728,antibody
7eb2,    0.652,antibody
5hvg,None,antibody
5lqb,None,antibody
7nwl,None,antibody
7vuj,None,antibody
7a4y,None,antibody
3i50,    0.662,antibody
7mmo,None,antibody
8wdt,None,antibody
7zfc,None,antibody
8i3s,None,antibody
5i4f,None,antibody
8yj8,None,antibody
7we8,None,antibody
6plh,None,antibody
1lo0,None,antibody
4hij,None,antibody
6xc4,None,antibody
8j6q,    0.701,antibody
7cec,None,antibody
8csj,None,antibody
6oe5,    0.614,antibody
6bzu,    0.792,antibody
5t85,None,antibody
5jz7,    0.593,antibody
6ym0,None,antibody
4ngh,None,antibody
7xp5,    0.587,antibody
7che,    0.529,antibody
7ej0,    0.532,antibody
5w9h,None,antibody
8iy9,    0.557,antibody
6o3g,None,antibody
8j6j,    0.486,antibody
1yy9,None,antibody
7vbi,    0.620,antibody
5dhz,    0.739,antibody
6mtj,None,antibody
7wcp,    0.319,antibody
8ia8,    0.634,antibody
7mw5,None,antibody
2a6d,    0.631,antibody
4dgi,None,antibody
8hc6,None,antibody
8hk2,    0.582,antibody
8bw7,None,antibody
2dqt,None,antibody
4xmp,None,antibody
8h5u,None,antibody
6bzy,    0.825,antibody
4yfl,None,antibody
4ydj,None,antibody
7deo,None,antibody
8bbn,None,antibody
3ifo,None,antibody
4xvu,None,antibody
5dmg,None,antibody
6zh9,None,antibody
8p6i,    0.803,antibody
8qz4,None,antibody
4r4f,None,antibody
7wtk,None,antibody
6n5e,None,antibody
7m1h,None,antibody
5boz,None,antibody
7lmr,None,antibody
2bse,    0.740,antibody
7n0r,None,antibody
8f6u,None,antibody
7yv1,None,antibody
7ums,None,antibody
8i95,    0.617,antibody
8dw2,None,antibody
4y5v,None,antibody
7djz,None,antibody
2ny0,None,antibody
7kkk,None,antibody
7fci,    0.560,antibody
8sb2,    0.555,antibody
7uz7,None,antibody
7rsn,None,antibody
7bu6,None,antibody
6h16,None,antibody
8k5g,    0.460,antibody
7wtg,    0.588,antibody
7tyl,    0.582,antibody
6b0h,None,antibody
8pwv,None,antibody
8xqn,    0.624,antibody
8hws,None,antibody
2ny7,None,antibody
6idi,    0.723,antibody
6h7l,None,antibody
1ikf,None,antibody
7rdw,None,antibody
7nfd,    0.620,antibody
6p7h,    0.822,antibody
6qd8,None,antibody
3ld8,None,antibody
4p3d,None,antibody
7now,None,antibody
5xcv,    0.716,antibody
7y1f,    0.551,antibody
6p3s,None,antibody
8cyb,None,antibody
7m7e,None,antibody
7ucx,None,antibody
7zmn,None,antibody
8eay,None,antibody
7tuz,    0.617,antibody
5hvh,None,antibody
7n9e,    0.415,antibody
7tco,None,antibody
6o26,None,antibody
7e9o,None,antibody
6ea7,None,antibody
7jhh,    0.743,antibody
7omm,    0.679,antibody
8b1h,None,antibody
6yor,None,antibody
6xbm,    0.662,antibody
7yai,None,antibody
7u8c,None,antibody
1zwi,None,antibody
1fj1,    0.757,antibody
8afh,    0.538,antibody
4ris,    0.811,antibody
8dqu,    0.724,antibody
6j11,None,antibody
4xx1,None,antibody
2xra,    0.690,antibody
6weq,None,antibody
3gi8,    0.682,antibody
7y67,    0.592,antibody
7kxk,None,antibody
5c6t,None,antibody
7rpu,None,antibody
6crq,None,antibody
1kno,None,antibody
5t5b,None,antibody
5f3h,    0.805,antibody
8dtt,    0.791,antibody
8ioc,    0.542,antibody
5czx,None,antibody
6z7y,None,antibody
7zmv,None,antibody
7wf7,    0.598,antibody
6ssi,None,antibody
7lxn,None,antibody
2p45,None,antibody
7wn1,None,antibody
3fo1,None,antibody
7vuz,    0.613,antibody
6t3f,None,antibody
8zbz,None,antibody
7c2s,   -0.000,antibody
8tp6,None,antibody
6zg3,None,antibody
7kra,None,antibody
2p42,None,antibody
7vnb,None,antibody
7six,    0.399,antibody
3hns,None,antibody
8u5b,None,antibody
8r9x,None,antibody
6azm,None,antibody
5lx9,None,antibody
5tzt,None,antibody
1mj7,None,antibody
4yo0,None,antibody
7ar0,    0.749,antibody
5y9j,    0.709,antibody
3x3f,None,antibody
6ln2,None,antibody
7m74,None,antibody
8cwu,    0.752,antibody
6bb4,None,antibody
7uny,None,antibody
8itu,None,antibody
7e14,    0.630,antibody
4k3j,None,antibody
7xw6,None,antibody
5ktz,    0.599,antibody
7ter,None,antibody
6cw2,None,antibody
8cml,    0.662,antibody
4rav,None,antibody
6m1h,    0.465,antibody
5ikc,None,antibody
8en6,None,antibody
7wy8,    0.498,antibody
8vyg,None,antibody
8a99,None,antibody
4ywg,None,antibody
5t6p,None,antibody
6w0b,None,antibody
8oo1,None,antibody
6q0e,None,antibody
8hbi,    0.573,antibody
3ve0,None,antibody
7n4n,None,antibody
6x1t,None,antibody
8p8j,None,antibody
6uoe,None,antibody
7li9,None,antibody
6xjy,None,antibody
4g6m,    0.746,antibody
1jp5,    0.747,antibody
5yoy,    0.709,antibody
4nzt,None,antibody
7uja,None,antibody
8udg,None,antibody
7y0c,    0.661,antibody
1etz,None,antibody
3cxd,None,antibody
8pg0,None,antibody
7mw2,None,antibody
6s5a,None,antibody
7xms,    0.674,antibody
8dk6,    0.778,antibody
8euq,None,antibody
8ath,    0.668,antibody
1yei,None,antibody
8x17,    0.612,antibody
8gsd,None,antibody
6wpt,None,antibody
8ix3,    0.572,antibody
7rku,None,antibody
4yhk,None,antibody
7jmw,    0.713,antibody
1kc5,    0.684,antibody
8rz0,None,antibody
8f6x,None,antibody
4jo2,    0.771,antibody
6opo,None,antibody
9fzc,None,antibody
6apb,None,antibody
4yqx,    0.661,antibody
4mqt,None,antibody
7won,    0.555,antibody
7r7n,    0.614,antibody
7lab,None,antibody
5nph,    0.793,antibody
8p8a,    0.659,antibody
7bts,None,antibody
6w52,    0.655,antibody
7fgr,None,antibody
6x40,None,antibody
6udj,None,antibody
6r8x,None,antibody
7sk3,None,antibody
8xqt,    0.628,antibody
8dnn,None,antibody
6mnq,None,antibody
7k75,None,antibody
7zxk,None,antibody
7ym8,None,antibody
7rkn,    0.604,antibody
35c8,None,antibody
7x8s,    0.567,antibody
3idy,None,antibody
8hnk,    0.621,antibody
8uh3,    0.640,antibody
4nc1,    0.795,antibody
7m55,None,antibody
7tpj,    0.567,antibody
8g9y,None,antibody
8zje,    0.643,antibody
8f9v,None,antibody
7nw3,None,antibody
1eap,None,antibody
4xnu,None,antibody
8hed,None,antibody
5x2o,None,antibody
7nrh,    0.491,antibody
7bbj,None,antibody
8hbd,    0.577,antibody
3mlu,    0.718,antibody
2eh8,    0.703,antibody
7nd4,None,antibody
1tet,None,antibody
8iy5,    0.647,antibody
8w0y,None,antibody
6myy,None,antibody
5w3p,None,antibody
8jeo,    0.743,antibody
8thl,    0.629,antibody
8p7w,    0.534,antibody
6yio,None,antibody
8hj5,    0.552,antibody
7lki,    0.867,antibody
4rx4,None,antibody
4hzl,    0.738,antibody
7zcf,None,antibody
4jn2,None,antibody
1orq,None,antibody
8dl8,None,antibody
5e2v,None,antibody
5ijk,None,antibody
8gkl,    0.654,antibody
6x58,    0.714,antibody
7sj0,None,antibody
4uih,    0.233,antibody
8i5l,    0.728,antibody
4wv1,    0.773,antibody
6gju,None,antibody
4onf,None,antibody
7nd0,None,antibody
7czw,None,antibody
7try,    0.539,antibody
7qn6,None,antibody
8dv6,None,antibody
8be2,None,antibody
6wo4,None,antibody
6oao,    0.729,antibody
8g2y,None,antibody
9en2,None,antibody
6cxc,None,antibody
7dk5,None,antibody
8eji,    0.740,antibody
7x2t,None,antibody
7jv6,None,antibody
6uul,None,antibody
1jgu,None,antibody
8ipc,None,antibody
8jty,    0.449,antibody
6krz,None,antibody
3v0a,None,antibody
4rgn,    0.755,antibody
7kf1,None,antibody
6uqr,None,antibody
5tbd,None,antibody
6gwn,    0.732,antibody
5mp1,    0.830,antibody
5en2,None,antibody
6b20,None,antibody
2qqk,None,antibody
7f5h,None,antibody
4lkx,    0.779,antibody
8t9z,    0.697,antibody
8u31,None,antibody
7e32,    0.660,antibody
7sk8,None,antibody
6x3w,None,antibody
7dkj,None,antibody
9g2a,None,antibody
